id;name;price;type;efficiency;wattage;modular;color
809;SeaSonic VERTEX GX-750;109.99;ATX;gold;750;Full;Black / Silver
810;Fractal Design Ion+ 560P;;ATX;platinum;560;Full;Black
811;SeaSonic FOCUS;;ATX;gold;750;Semi;Black
812;FSP Group Hydro K Pro ATX3.0;;ATX;bronze;750;false;Black
813;Corsair VS450;;ATX;;450;false;
814;Thermaltake Toughpower PF1 - TT Premium Edition;;ATX;platinum;650;Full;
815;Antec NE850G M;;ATX;gold;850;Full;White
816;EVGA 430 W1;;ATX;plus;430;false;
817;SeaSonic Platinum;;ATX;platinum;400;Full;
818;Segotep GM;;ATX;gold;850;Full;Black
819;Phanteks Revolt X;;ATX;platinum;1000;Full;Black / Silver
820;Tacens Radix VII AG;;ATX;silver;600;false;Black
821;Thermaltake Smart Pro RGB;;ATX;bronze;850;Full;
822;Fractal Design Ion SFX 500G;;SFX;gold;500;Full;Black
823;Segotep GP700G;;ATX;gold;700;false;Black
824;ARESGAME AGT;;ATX;gold;1000;Full;Black
825;Corsair CX550F;;ATX;bronze;550;Full;White / Black
826;Gigabyte UD1000GM PG5;187.14;ATX;gold;1000;Full;Black
827;Thermalright TG;;ATX;gold;850;Full;Black
828;Corsair CS750M;216.99;ATX;gold;750;Semi;
829;Corsair AX760;;ATX;platinum;760;Full;
830;FSP Group Hydro PTM X PRO,Gen5;170;ATX;platinum;1000;Full;Black
831;FSP Group FSP300-60LG;153.59;Mini ITX;bronze;300;false;
832;Thermaltake Toughpower PF3;;ATX;platinum;1200;Full;Black
833;Cooler Master V SFX Gold ATX 3.0;;SFX;gold;850;Full;White
834;Cooler Master GX III GOLD;155.63;ATX;gold;750;Full;Black / Purple
835;SeaSonic PRIME Titanium;599;ATX;titanium;1000;Full;
836;Chieftec GPS-600A8;;ATX;plus;600;false;
837;NZXT C (2019);;ATX;gold;850;Full;Black
838;Cooler Master MWE 500;;ATX;plus;500;false;Black
839;SeaSonic S12II;;ATX;bronze;520;false;
840;Sparkle FSP300-60ATV;59.99;ATX;;300;false;
841;be quiet! System Power 9;;ATX;bronze;500;false;Black
842;SeaSonic PRIME SNOWSILENT;;ATX;titanium;750;Full;White
843;EVGA SuperNOVA G FTW;169.99;ATX;gold;1000;Full;Black
844;Thermaltake Thermaltake TP-750M;;ATX;gold;750;Semi;
845;Silverstone DA1650 Gold;;ATX;gold;1650;Full;Black / White
846;ADATA XPG KYBER;;ATX;gold;850;false;Black
847;Lian Li PE;;SFX;platinum;750;Full;
848;Corsair RM850;;ATX;gold;850;Full;
849;Deepcool DQ850M-V3L;;ATX;gold;850;Full;Black
850;SeaSonic M12II;;ATX;bronze;620;false;
851;Cooler Master MWE GOLD 650 V2;;ATX;gold;650;false;Black
852;FSP Group Hydro GE;84.78;ATX;gold;650;Full;
853;Corsair RM650x;203.4;ATX;gold;650;Full;
854;Antec VP PLUS;124.46;ATX;plus;700;false;Black
855;EVGA SuperNOVA 850 G7;;ATX;gold;850;Full;Black / Blue
856;be quiet! Straight Power 11;;ATX;platinum;850;Full;Black
857;Silverstone Strider;;ATX;plus;500;false;
858;Super Flower Leadex Platinum;259.99;ATX;platinum;1600;Full;Black
859;Azza ARGB;64.98;ATX;bronze;650;false;Black
860;be quiet! Straight Power 11;;ATX;platinum;1000;Full;Black
861;be quiet! Pure Power 11 FM 750;;ATX;gold;750;Full;Black
862;Thermaltake Litepower;;ATX;;450;false;
863;ADATA XPG Core Reactor II;159.99;ATX;gold;1200;Full;Black
864;Thermaltake Toughpower SFX 600W Gold;135.04;SFX;gold;600;Full;Black
865;Thermaltake Smart SE;245.47;ATX;;630;Semi;
866;Thermaltake Smart SE;110;ATX;;530;Semi;Black
867;SeaSonic FOCUS SGX (2021);;SFX;gold;650;Full;Black
868;EVGA SuperNOVA 850 G+;169.99;ATX;gold;850;Full;
869;NOX Hummer GD;;ATX;gold;750;false;
870;Gigabyte B700H;;ATX;bronze;700;Semi;Black
871;SeaSonic VERTEX GX;;ATX;gold;1000;Full;White
872;Enermax Revolution D.F.;106.99;ATX;gold;750;Full;Black / Silver
873;Thermaltake Toughpower GF1 Snow - TT Premium;;ATX;gold;750;Full;White
874;FSP Group Hydro PTM X PRO,Gen5;249.99;ATX;platinum;1200;Full;Black
875;SeaSonic S12III;119;ATX;bronze;550;false;Black
876;Cooler Master V1000;;ATX;gold;1000;Full;
877;FSP Group Hydro K Pro ATX3.0;;ATX;bronze;850;false;Black
878;SeaSonic PRIME PX;169.99;ATX;platinum;750;Full;Black / Silver
879;Logisys PS550E12BK;39.99;ATX;;550;false;
880;KOLINK Core;;ATX;plus;700;false;Black
881;Deepcool PN850M;;ATX;gold;850;Full;Black
882;Thermaltake Toughpower Grand RGB Platinum;329.95;ATX;platinum;1200;Full;Black
883;Corsair Vengeance 650M;;ATX;silver;650;Semi;Black
884;EVGA 450 B3;;ATX;bronze;450;Full;
885;Corsair CX430M;;ATX;bronze;430;Semi;
886;be quiet! Dark Power 12;292.89;ATX;titanium;750;Full;Black
887;Cougar GEX;;ATX;gold;650;Full;Black
888;Thermaltake Smart Pro RGB;169.99;ATX;bronze;750;Full;
889;Chieftec GPS-700A8;;ATX;bronze;700;false;Black / White
890;Montech CENTURY;;ATX;gold;850;Full;Black
891;SHARKOON SilentStorm Icewind Black;;ATX;bronze;750;Semi;Black
892;SeaSonic CORE GM;;ATX;gold;550;Semi;Black
893;Thermalright TG;;ATX;gold;750;Full;Black
894;EVGA SuperNOVA 850 T2;;ATX;titanium;850;Full;
895;GAMDIAS KRATOS M1 B;;ATX;bronze;600;false;Black
896;EVGA SuperNOVA 650 GS;;ATX;gold;650;Full;
897;Super Flower Leadex V Pro;249.99;ATX;gold;1000;Full;Black / Gold
898;Fractal Design Ion+ 660P;;ATX;platinum;660;Full;Black
899;Chieftec Polaris;;ATX;gold;750;Full;Black
900;NZXT C (2019);109.98;ATX;gold;750;Full;Black
901;Thermaltake Toughpower SFX;;SFX;gold;550;Full;Black
902;Chieftec Polaris;;ATX;gold;650;Full;Black
903;EVGA GE;;ATX;gold;500;false;Black
904;Corsair TX850;;ATX;plus;850;false;
905;SeaSonic PRIME Ultra Titanium;;ATX;titanium;650;Full;
906;FSP Group Hydro Pro;;ATX;bronze;700;false;Black
907;Corsair CS550M;;ATX;gold;550;Semi;
908;GameMax GM;;ATX;bronze;500;Semi;Black
909;Deepcool PN750M;;ATX;gold;750;Full;Black
910;Super Flower Leadex III ARGB;167.99;ATX;gold;850;Full;White
911;LC-Power LC6 V2.31;;ATX;gold;1000;Full;Black / Gray
912;Thermaltake Toughpower GF1 Snow - TT Premium;;ATX;gold;850;Full;White
913;SeaSonic VERTEX GX;;ATX;gold;1200;Full;White
914;Silverstone Strider;103.36;ATX;gold;550;Full;
915;SeaSonic FOCUS;;ATX;platinum;550;Full;Black
916;Thermaltake Smart;;ATX;bronze;650;false;
917;FSP Group Hydro PTM X PRO,Gen5;143.76;ATX;platinum;850;Full;Black
918;Corsair RM550;224.99;ATX;gold;550;Full;
919;Thermaltake TR2 S 550W;;ATX;plus;550;false;
920;Corsair RM1000i;;ATX;gold;1000;Full;
921;BitFenix Formula Bronze;;ATX;bronze;600;false;Black
922;Thermaltake Smart RGB;;ATX;plus;600;false;
923;Deepcool PK450D;;ATX;bronze;450;false;Black
924;Zalman ZM-600-GT;;ATX;bronze;600;Semi;
925;Corsair HX850;;ATX;gold;850;Semi;
926;Corsair GS800;;ATX;bronze;800;false;
927;Deepcool DA700N;;ATX;bronze;700;false;Black
928;EVGA 600 BA;;ATX;bronze;600;false;Black
929;Enermax REVOLUTION D.F. 2;106.99;ATX;gold;1200;Full;Black
930;Silverstone DA850R-GMA;;ATX;gold;850;Full;White
931;YEYIAN Raiden;;ATX;bronze;650;false;Black
932;Silverstone DA750R-GMA;;ATX;gold;750;Full;Black
933;Thermaltake TPD-0550M;;ATX;gold;550;Semi;
934;SeaSonic FOCUS;;ATX;platinum;650;Full;Black
935;Corsair HX750;273.99;ATX;gold;750;Semi;
936;Phanteks Revolt SFX;;SFX;platinum;750;Full;Black
937;be quiet! Pure Power L8;;ATX;bronze;300;false;
938;EVGA SuperNOVA NEX750B;;ATX;bronze;750;Semi;
939;Thermalright TB550S;;ATX;bronze;550;false;Black
940;SeaSonic PRIME PX;;ATX;platinum;850;Full;Black / Silver
941;Cougar COUGAR-GX1050;164.99;ATX;gold;1050;Semi;
942;Cooler Master XG650;;ATX;platinum;650;Full;Black
943;Thermaltake Toughpower PF3;;ATX;platinum;850;Full;Black
944;Corsair HX1050;429;ATX;gold;1050;Semi;
945;Deepcool DQ1000M-V3L;;ATX;gold;1000;Full;Black
946;be quiet! Pure Power 11 CM;;ATX;gold;700;Semi;Black
947;NOX URANO TX;;ATX;;850;false;
948;Deepcool DA500;;ATX;bronze;500;false;Black / Gold
949;Deepcool PL650D;;ATX;bronze;650;false;Black
950;Silverstone Strider Titanium;339.99;ATX;titanium;1100;Full;Black / Blue
951;Gigabyte GP-G750H;;ATX;gold;750;Semi;Black
952;Gigabyte UD-GM PG5;160.99;ATX;gold;850;Full;Black
953;Cougar GEX;205.22;ATX;gold;1050;Full;Black
954;be quiet! Straight Power 11;;ATX;platinum;1200;Full;Black
955;Thermaltake Smart;;ATX;bronze;750;false;
956;Corsair TX950;;ATX;bronze;950;false;
957;PowerSpec PS 550BF;;ATX;bronze;550;false;Black
958;NZXT HALE82 V2 550W;;ATX;bronze;550;Full;
959;Cougar GEX;;ATX;gold;750;Full;Black
960;Corsair AX850;319.99;ATX;gold;850;Full;
961;Deepcool PL750D;;ATX;bronze;750;false;Black
962;SeaSonic FOCUS Plus Platinum;;ATX;platinum;650;Full;
963;be quiet! Pure Power 11 FM 650;;ATX;gold;650;Full;Black
964;NOX Hummer X;;ATX;gold;650;Full;Black
965;GAMDIAS KRATOS P1 G;;ATX;gold;650;false;Black
966;Thermaltake Smart BM2;;ATX;bronze;750;Semi;Black
967;Corsair RM850i;;ATX;gold;850;Full;
968;Cooler Master G750M;;ATX;bronze;750;Semi;
969;Rosewill HIVE;;ATX;bronze;750;Semi;
970;Thermaltake Toughpower PF3-L;149.99;ATX;platinum;850;Full;Black
971;Thermaltake TR2;59.99;ATX;bronze;450;false;
972;be quiet! Straight Power 11 450W;250;ATX;gold;450;Full;
973;Solid Gear SDGR-750E;;ATX;;750;false;
974;SeaSonic ATX3-FOCUS-GX-1000-WHITE;;ATX;gold;1000;Full;White
