id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
2271;Pro A10-7800B;;4;3.5;3.9;65;Radeon R7 (on-die);f;test
2273;A10-7860k;;4;3.6;4;65;Radeon R7 (on-die);f;test
2279;Xeon E-2126G;896;6;3.3;4.5;80;HD Graphics P630;f;test
2285;Pentium G3470;58.31;2;3.6;;53;HD Graphics;f;test
2286;Pentium G3470;153.1;2;3.6;;53;HD Graphics;f;test
2296;Xeon E3-1265L V2;;4;2.5;;45;HD Graphics 2500;t;test
2297;Xeon E3-1225 V3;;4;3.2;3.6;84;HD Graphics P4600;f;test
2298;Xeon E5-1660;;6;3.3;3.9;130;;t;test
2300;A4-3450;;2;2.9;;65;;f;test
2308;Xeon E3-1240 V6;429.95;4;3.7;4.1;72;;t;test
2316;Pro A10-7850B;148.02;4;3.7;4;95;Radeon R7 (on-die);f;test
2317;Xeon E3-1220 V5;354.97;4;3;3.5;80;;f;test
2323;Phenom II X2 550 Black;;2;3.1;;80;;f;test
2325;Phenom II X4 955 Black;;4;3.2;;125;;f;test
2326;Pentium E2220;;2;2.4;;65;;f;test
2336;Core i5-2380P;70;4;3.1;;95;;f;test
2340;5150;;4;1.6;;25;Radeon HD 8400;f;test
2344;Xeon E5-2643 V2;403.96;6;3.5;3.8;130;;t;test
2347;Phenom II X4 B99;;4;3.3;;95;;f;test
2352;Xeon E3-1230 V2;249.95;4;3.3;;69;;t;test
2358;Xeon E3-1245 V5;399;4;3.5;3.9;80;HD Graphics P530;t;test
2359;Opteron 6320;246.96;8;2.8;3.3;115;;f;test
2361;Xeon E3-1275 V6;;4;3.8;4.2;73;HD Graphics P630;t;test
2365;Xeon E-2244G;;4;3.8;4.8;71;HD Graphics P630;t;test
2366;Xeon E3-1245 V6;449.95;4;3.7;4.1;73;HD Graphics P630;t;test
2371;Phenom II X2 555 Black;;2;3.2;;80;;f;test
2388;Phenom II X4 960T Black;;4;3;;95;;f;test
2392;Pentium G550;;2;2.6;;65;HD Graphics;f;test
2399;Xeon E5-2603 V2;;4;1.8;;80;;f;test
2410;Xeon E3-1230 V3;;4;3.3;3.7;80;;t;test
2411;Xeon E5-2630L V2;;6;2.4;;60;;t;test
2413;Athlon X2 350;;2;3.5;3.9;65;;f;test
2415;Sempron X2 250;;2;3.2;3.6;65;;f;test
2423;Xeon E3-1270 V5;;4;3.6;4;80;;t;test
2424;Xeon E3-1240 V5;;4;3.5;3.9;80;;t;test
2425;Opteron 6320;246.96;8;2.8;3.3;115;;f;test
2426;Opteron 6328;499.99;8;3.2;3.8;115;;f;test
2433;Xeon E3-1240 V6;;4;3.7;4.1;72;;t;test
2439;Xeon E-2144G;867;4;3.6;4.5;71;HD Graphics P630;t;test
2440;Xeon E-2274G;;4;4;4.9;83;HD Graphics P630;t;test
2441;Celeron G5925;;2;3.6;;58;UHD Graphics 610;f;test
2442;Celeron G5905T;;2;3.3;;35;UHD Graphics 610;f;test
2445;Xeon E5-2640 V2;;8;2;2.5;95;;t;test
2446;Opteron 6344;;12;2.6;3.2;115;;f;test
